,country,country_source,period,sex,age_group,Dx_covid_season,population,mx_covid_season
105,Belgium,Belgium (Sciensano),summer 2021,2,65-74,63,571453.0,0.11024528701398
106,Belgium,Belgium (Sciensano),summer 2021,2,75-84,54,304861.0,0.177129905104293
107,Belgium,Belgium (Sciensano),summer 2021,2,85+,61,111219.0,0.548467438117588
108,Belgium,Belgium (Sciensano),winter 2020-2021,0,0-24,2,3234925.0,0.000618252355155065
109,Belgium,Belgium (Sciensano),winter 2020-2021,0,25-44,28,2979996.0,0.00939598576642385
110,Belgium,Belgium (Sciensano),winter 2020-2021,0,45-64,289,3077196.0,0.0939166695914072
111,Belgium,Belgium (Sciensano),winter 2020-2021,0,65-74,643,1194091.0,0.538484922840889
112,Belgium,Belgium (Sciensano),winter 2020-2021,0,75-84,1477,703107.0,2.10067599952781
113,Belgium,Belgium (Sciensano),winter 2020-2021,0,85+,2887,331923.0,8.69780039346475
114,Belgium,Belgium (Sciensano),winter 2020-2021,1,0-24,1,1582715.0,0.000631825691928111
115,Belgium,Belgium (Sciensano),winter 2020-2021,1,25-44,13,1487749.0,0.00873803309563643
116,Belgium,Belgium (Sciensano),winter 2020-2021,1,45-64,96,1531975.0,0.0626642079668402
117,Belgium,Belgium (Sciensano),winter 2020-2021,1,65-74,220,622638.0,0.35333532485971
118,Belgium,Belgium (Sciensano),winter 2020-2021,1,75-84,671,398246.0,1.68488823491008
119,Belgium,Belgium (Sciensano),winter 2020-2021,1,85+,1637,220704.0,7.41717413368131
120,Belgium,Belgium (Sciensano),winter 2020-2021,2,0-24,1,1652210.0,0.000605249937961881
121,Belgium,Belgium (Sciensano),winter 2020-2021,2,25-44,15,1492247.0,0.0100519552058071
122,Belgium,Belgium (Sciensano),winter 2020-2021,2,45-64,193,1545221.0,0.124901227720824
123,Belgium,Belgium (Sciensano),winter 2020-2021,2,65-74,423,571453.0,0.740218355665295
124,Belgium,Belgium (Sciensano),winter 2020-2021,2,75-84,805,304861.0,2.64054765942512
125,Belgium,Belgium (Sciensano),winter 2020-2021,2,85+,1250,111219.0,11.2390868466719
126,Belgium,Belgium (Sciensano),winter 2021-2022,0,0-24,1,3234925.0,0.000309126177577533
127,Belgium,Belgium (Sciensano),winter 2021-2022,0,25-44,30,2979996.0,0.0100671276068827
128,Belgium,Belgium (Sciensano),winter 2021-2022,0,45-64,363,3077196.0,0.117964536545608
129,Belgium,Belgium (Sciensano),winter 2021-2022,0,65-74,602,1194091.0,0.504149181260055
130,Belgium,Belgium (Sciensano),winter 2021-2022,0,75-84,873,703107.0,1.24163178577372
131,Belgium,Belgium (Sciensano),winter 2021-2022,0,85+,1109,331923.0,3.34113634788791
132,Belgium,Belgium (Sciensano),winter 2021-2022,1,0-24,1,1582715.0,0.000631825691928111
133,Belgium,Belgium (Sciensano),winter 2021-2022,1,25-44,10,1487749.0,0.00672156391972033
134,Belgium,Belgium (Sciensano),winter 2021-2022,1,45-64,125,1531975.0,0.0815940207901565
135,Belgium,Belgium (Sciensano),winter 2021-2022,1,65-74,189,622638.0,0.30354716544766
136,Belgium,Belgium (Sciensano),winter 2021-2022,1,75-84,321,398246.0,0.806034461111976
137,Belgium,Belgium (Sciensano),winter 2021-2022,1,85+,523,220704.0,2.36968972016819
138,Belgium,Belgium (Sciensano),winter 2021-2022,2,0-24,0,1652210.0,0.0
139,Belgium,Belgium (Sciensano),winter 2021-2022,2,25-44,20,1492247.0,0.0134026069410761
140,Belgium,Belgium (Sciensano),winter 2021-2022,2,45-64,236,1545221.0,0.152728962394376
141,Belgium,Belgium (Sciensano),winter 2021-2022,2,65-74,413,571453.0,0.722719103758314
142,Belgium,Belgium (Sciensano),winter 2021-2022,2,75-84,551,304861.0,1.80738106874936
143,Belgium,Belgium (Sciensano),winter 2021-2022,2,85+,586,111219.0,5.26888391371978
144,England & Wales,England & Wales (ONS),autumn 2020,0,0-24,10,17706485.0,0.000564764830512662
145,England & Wales,England & Wales (ONS),autumn 2020,0,25-44,142,15596791.25,0.00910443678599596
146,England & Wales,England & Wales (ONS),autumn 2020,0,45-64,1403,15310107.25,0.0916388093884842
147,England & Wales,England & Wales (ONS),autumn 2020,0,65-74,2682,5968945.25,0.449325615777762
148,England & Wales,England & Wales (ONS),autumn 2020,0,75-84,5587,3704541.75,1.50814874741255
149,England & Wales,England & Wales (ONS),autumn 2020,0,85+,6478,1497841.75,4.32488946178727
150,England & Wales,England & Wales (ONS),autumn 2020,1,0-24,4,8608020.5,0.000464682908224951
151,England & Wales,England & Wales (ONS),autumn 2020,1,25-44,63,7776446.0,0.00810138718895495
152,England & Wales,England & Wales (ONS),autumn 2020,1,45-64,491,7767669.75,0.0632107203064343
153,England & Wales,England & Wales (ONS),autumn 2020,1,65-74,920,3098174.75,0.296949034266063
154,England & Wales,England & Wales (ONS),autumn 2020,1,75-84,2218,2017216.25,1.099535064721
155,England & Wales,England & Wales (ONS),autumn 2020,1,85+,3366,936802.25,3.59307420536191
156,England & Wales,England & Wales (ONS),autumn 2020,2,0-24,6,9098464.5,0.000659451932795913
157,England & Wales,England & Wales (ONS),autumn 2020,2,25-44,79,7820345.25,0.0101018557972233
158,England & Wales,England & Wales (ONS),autumn 2020,2,45-64,912,7542437.5,0.120915817996503
159,England & Wales,England & Wales (ONS),autumn 2020,2,65-74,1762,2870770.5,0.613772504628984
160,England & Wales,England & Wales (ONS),autumn 2020,2,75-84,3369,1687325.5,1.99665091293885
161,England & Wales,England & Wales (ONS),autumn 2020,2,85+,3112,561039.5,5.54684652328401
162,England & Wales,England & Wales (ONS),autumn 2021,0,0-24,39,17683726.5,0.00220541750631576
163,England & Wales,England & Wales (ONS),autumn 2021,0,25-44,288,15690732.25,0.0183547839202979
164,England & Wales,England & Wales (ONS),autumn 2021,0,45-64,1797,15335418.75,0.117179715095814
165,England & Wales,England & Wales (ONS),autumn 2021,0,65-74,2272,5973183.75,0.380366667943205
166,England & Wales,England & Wales (ONS),autumn 2021,0,75-84,3323,3832956.0,0.866954903734872
167,England & Wales,England & Wales (ONS),autumn 2021,0,85+,3290,1523531.75,2.15945614523623
168,England & Wales,England & Wales (ONS),autumn 2021,1,0-24,19,8595411.75,0.00221048165609984
169,England & Wales,England & Wales (ONS),autumn 2021,1,25-44,116,7813799.75,0.0148455301788352
170,England & Wales,England & Wales (ONS),autumn 2021,1,45-64,687,7782933.0,0.0882700647686418
171,England & Wales,England & Wales (ONS),autumn 2021,1,65-74,847,3101573.75,0.273087170666182
172,England & Wales,England & Wales (ONS),autumn 2021,1,75-84,1260,2083659.25,0.604705399887242
173,England & Wales,England & Wales (ONS),autumn 2021,1,85+,1614,947666.5,1.70313079548554
174,England & Wales,England & Wales (ONS),autumn 2021,2,0-24,20,9088314.75,0.00220062800971984
175,England & Wales,England & Wales (ONS),autumn 2021,2,25-44,172,7876932.5,0.021835911377938
176,England & Wales,England & Wales (ONS),autumn 2021,2,45-64,1110,7552485.75,0.146971478893555
177,England & Wales,England & Wales (ONS),autumn 2021,2,65-74,1425,2871610.0,0.4962373024192
178,England & Wales,England & Wales (ONS),autumn 2021,2,75-84,2063,1749296.75,1.17933106546959
179,England & Wales,England & Wales (ONS),autumn 2021,2,85+,1676,575865.25,2.91040308474943
180,England & Wales,England & Wales (ONS),spring 2020,0,0-24,37,17702186.25,0.0020901373128418
181,England & Wales,England & Wales (ONS),spring 2020,0,25-44,502,15558932.5,0.032264424310601
182,England & Wales,England & Wales (ONS),spring 2020,0,45-64,4665,15285154.5,0.305198092698376
183,England & Wales,England & Wales (ONS),spring 2020,0,65-74,7043,5954575.25,1.18278797467544
184,England & Wales,England & Wales (ONS),spring 2020,0,75-84,15299,3659865.75,4.18020797620787
185,England & Wales,England & Wales (ONS),spring 2020,0,85+,19806,1489038.75,13.3011985080979
186,England & Wales,England & Wales (ONS),spring 2020,1,0-24,15,8608556.25,0.00174245245827371
187,England & Wales,England & Wales (ONS),spring 2020,1,25-44,197,7763810.5,0.0253741381245717
188,England & Wales,England & Wales (ONS),spring 2020,1,45-64,1596,7754118.75,0.205826097259602
189,England & Wales,England & Wales (ONS),spring 2020,1,65-74,2431,3089831.25,0.786774358632045
190,England & Wales,England & Wales (ONS),spring 2020,1,75-84,6179,1994126.75,3.09859942453508
191,England & Wales,England & Wales (ONS),spring 2020,1,85+,10630,933925.75,11.3820611542192
192,England & Wales,England & Wales (ONS),spring 2020,2,0-24,22,9093630.0,0.00241927591071992
193,England & Wales,England & Wales (ONS),spring 2020,2,25-44,305,7795122.0,0.0391270335473903
194,England & Wales,England & Wales (ONS),spring 2020,2,45-64,3069,7531035.75,0.407513667691725
195,England & Wales,England & Wales (ONS),spring 2020,2,65-74,4612,2864744.0,1.60991697687472
196,England & Wales,England & Wales (ONS),spring 2020,2,75-84,9120,1665739.0,5.47504741138918
197,England & Wales,England & Wales (ONS),spring 2020,2,85+,9176,555113.0,16.5299677723274
198,England & Wales,England & Wales (ONS),spring 2021,0,0-24,7,17697033.0,0.000395546530313867
199,England & Wales,England & Wales (ONS),spring 2021,0,25-44,99,15641881.75,0.00632916177108934
200,England & Wales,England & Wales (ONS),spring 2021,0,45-64,1009,15327005.75,0.065831514416963
